work,workDescription,workLabel,coords,address,aliases,image,DRSImageURL,yearInstalled,yearRemoved,materials,categories,creators,neighborhoods,depicted,commemorated
http://www.wikidata.org/entity/Q117070287,2017 mural in Allston by Pete Cosmos,Faces of Allston,Point(-71.133230109 42.363554217),"267 Western Ave, Boston, MA 02134",,,,2017,,,mural,Pete Cosmos,Allston,,
http://www.wikidata.org/entity/Q110088867,"2015 mural by Caleb Neelon and Victor ""Marka27"" Quinonez",Untitled,Point(-71.098356601 42.332679887),"40 Smith Street,  Roxbury, MA 02120",,,,2015,,,mural,Victor Quiñonez; Caleb Neelon,Roxbury,,
http://www.wikidata.org/entity/Q108489870,2010 mural by Raul Gonzalez in Boston,Conmocion,Point(-71.038705814 42.368467991),,,,,2010,,latex paint; acrylic paint,mural,,East Boston,,
http://www.wikidata.org/entity/Q109272155,2019 mural by Silvia López Chavez,Up and Under,Point(-71.0611851 42.344122069),"90 Traveler St, Boston, MA 02118",,,,2019,,,mural,Silvia López Chavez,South End,,
http://www.wikidata.org/entity/Q110996777,2017 mural by Rob Gibbs,Breathe Life,Point(-71.07951036 42.313217203),"324 Blue Hill Avenue, Boston, MA 02121",,,,2017,,,mural,Rob Gibbs,Dorchester,,
http://www.wikidata.org/entity/Q109272123,2013 mosaic mural by Christos Hamawi,The Living Seasons,Point(-71.065005419 42.34843345),"885 Washington St, Boston, MA 02111",,,,2013,,ceramic tile; glass tile,mosaic,Christos Hamawi,Chinatown,,
http://www.wikidata.org/entity/Q118174565,1958 stained glass windows,St. John the Baptist,Point(-71.070304401 42.341724785),"15 Un Pk St, Boston, MA 02118",,,,1958,,,stained glass,,South End,,
http://www.wikidata.org/entity/Q117070727,"2020 mural by Stephen Hamilton for the Nubian Square Public Art Initiative in Roxbury, MA",1000 Hooves,Point(-71.082017533 42.331417425),"2168 Washington St. Boston, MA",,,,2020,,,mural,Stephen Hamilton,Roxbury,,
http://www.wikidata.org/entity/Q108489869,"2003 sculpture by B. Amore, Kokoro Carvers, Bamore, Woody Dorsey in Boston",Condor Street Urban Wild,Point(-71.028361331 42.381483429),"300 Condor St, Boston, MA 02128",,,,2003,,stone,sculpture,,East Boston,,
http://www.wikidata.org/entity/Q118097347,2015 mural by Jef Aérosol depicting Jimi Hendrix,Hendrix,Point(-71.085872699 42.340700113),"Gainsborough Parking Garage, 10 Gainsborough St, Boston, MA 02115",,,,2015,,aerosol paint,mural,Jef Aérosol,Fenway–Kenmore,Jimi Hendrix,
http://www.wikidata.org/entity/Q108824210,1982 mural by Paul Goodnight in Boston,Jazz History/Tribute to Black Classical Music,Point(-71.084420373 42.337384548),"981 Tremont St, Boston, MA 02120",,,,1982,1985,,mural,Paul Goodnight,South End,Johnny Hodges; Sarah Vaughan; Cannonball Adderley; Miles Davis; John Coltrane,
http://www.wikidata.org/entity/Q107975694,1997 mural by Mayor's Mural Crew and Mike Womble in Boston,Noah's Ark,Point(-71.08311 42.309152),"457 Blue Hill Avenue, Dorchester, MA 02121",,,,1997,,acrylic paint,mural,Mike Womble; Mayor's Mural Crew,Roxbury,,
http://www.wikidata.org/entity/Q109272172,"2017 mural by Sneha ""IMAGINE"" Shrestha",Surya,Point(-71.0611851 42.344122069),"90 Traveler St, Boston, MA 02118",,,,2017,,,mural,Sneha Shrestha,South End,,
http://www.wikidata.org/entity/Q115659528,"Mural outside a school in Dorchester, Massachusetts",Quote Wall,Point(-71.079722 42.291111),"155 Talbot Avenue, Boston, MA 02124",,,https://repository.library.northeastern.edu/downloads/neu:4f1862116?datastream_id=thumbnail_5,,,,mural,,Roxbury,,
http://www.wikidata.org/entity/Q110088734,1975 mural by Gary Rickson,America Is Our Beginning Thru Meditation,Point(-71.083603457 42.318146193),"401 Warren St, Boston, MA 02119",,,,1975,,,mural,Gary Rickson,Roxbury,,
http://www.wikidata.org/entity/Q107466791,"1849 fountain in South End, Boston",Twin Fountains,Point(-71.073533751 42.339650995),"1535 Washington Street, Boston, MA 02118",,,https://repository.library.northeastern.edu/downloads/neu:4f185m29s?datastream_id=thumbnail_5,1849,,cast iron,fountain,,South End,,
http://www.wikidata.org/entity/Q113976734,"mural in Dorchester Center, Boston, Massachusetts",Peace,Point(-71.071778 42.292806),"532 Washington Street, Dorchester Center, MA 02124",,,https://repository.library.northeastern.edu/downloads/neu:4f1852421?datastream_id=thumbnail_5,,,,mural,,Dorchester,,
http://www.wikidata.org/entity/Q107975700,2003 mural by Mayor's Mural Crew and Heidi Schork in Boston,Reyes y Reinas,Point(-71.07996788 42.31269783),"342 Blue Hill Avenue, Boston, MA 02121",,,https://repository.library.northeastern.edu/downloads/neu:4f185951f?datastream_id=thumbnail_5,2003,,acrylic paint,mural,Mayor's Mural Crew; Heidi Schork,Roxbury,,
http://www.wikidata.org/entity/Q110088917,2017 mural by Ewok,Untitled,Point(-71.0611851 42.344122069),"90 Traveler St, Boston, MA 02118",,,,2017,,,mural,Ewok,South End,,
http://www.wikidata.org/entity/Q107466778,mural by Sharon Dunn in Boston,Maternity,Point(-71.076378184 42.345529138),"4 Yarmouth St, Boston, MA 02116",Black Women,,,1972 or 1970,,paint,mural,Sharon Dunn,South End,,
http://www.wikidata.org/entity/Q116213314,2016 mural by Heidi Schork in Downtown Boston,Literary District Alley,Point(-71.06152312 42.355556599),"48 Temple Pl, Boston, MA 02111",,,,2016,,,mural,Heidi Schork,Downtown Boston,,
http://www.wikidata.org/entity/Q108475942,1977 sculptures in Boston's Chinatown neighborhood,Fu Dogs,Point(-71.0597459 42.351188342),"John F Fitzgerald Surface Rd &, Beach St, Boston, MA 02111","Foo Dogs, Fu Lions, Guardian Lions",,,2007 or 1990 or 1977,,marble,Chinese guardian lions; sculpture,TRO,Chinatown,,
http://www.wikidata.org/entity/Q112255430,mural by Roberto Chao and teens from the Boston Youth Network,Unity,Point(-71.03946 42.37434),"68 Central Square, Boston, MA 02128",,,,1997,,plywood,mural,Roberto Chao,East Boston,,
